見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立自然博物館,073-483-1777,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,身近な野鳥入門7 ,イベント,1月22日14:00～14:30,,,10人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）、12/29～1/3,新春冬鳥探鳥会,イベント,1月29日10:00～12:00,海南市わんぱく公園,小学生以上（小学生は保護者同伴）,30人（先着順）,,1月15日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022　和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,休館／12/29～1/3,和歌山県歌人クラブ短歌作品展「ふるさとを詠（うた）う」,展示,1月12日～3月31日,,,,,,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022　和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,休館／12/29～1/3,体験教室(1)楽しい手まりつくり（全2回）,イベント,"1月22・29日13:00～15:00",,18歳以上,10人（先着順）,"1,800円（受講2回分）",事前申込,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022　和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,休館／12/29～1/3,体験教室(2)プリザ?バレンタインアレンジ?,イベント,"2月5日13:30～14:10、14:30～15:10",,小学生以上（小学生は保護者同伴）,各18人（先着順）,"1,400円",事前申込,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022　和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,休館／12/29～1/3,体験教室(3)「幼児＆小学生のはじめての英会話」,イベント,2月11日15:00～16:00,,3歳～小学生（保護者同伴）,20人（先着順）,500円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029,073-63-2570,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合は次の平日）、12/27～1/1,早春の洋ラン展,展示,2月10～12日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029,073-63-2570,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合は次の平日）、12/27～1/1,洋ランの育て方教室,イベント,2月11日13:30～,,,36人（先着順）,300円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029,073-63-2570,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合は次の平日）、12/27～1/1,2月の寄せ植え教室,イベント,2月12日13:30～,,,39人（先着順）,"1,800円",事前申込,入場無料
県立図書館,073-436-9500,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜、12/29～1/4,ボランティアによる「おはなし会」,イベント,1月14・21・28日、2月4日14:00～,,,,,,入場無料
県立図書館,073-436-9500,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜、12/29～1/4,ウインター遊ing,イベント,1月28・29日　※時間は要問合せ,,,,,,入場無料
県立図書館,073-436-9500,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜、12/29～1/4,エントランスコンサート,イベント,2月3日12:00～12:30,,,80人程度（先着順）,,,入場無料
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251　紀美野町国木原372,10:00～17:00　　,休館／火曜、12/29～1/3,犬・猫の飼い方講習会及び譲渡会,イベント,1月5・8・22日、2月1・12・26日11:00～,,,,"譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",不要,入場無料
